frame_id,location_id,class_id,split,source_view,nominal_height,altitude_reference,sequence_index,absolute_path,relative_path,filename,positive_tile_id,positive_location_id,georeferenced,split_protocol
drone_0063_150_0046,0063,0063,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,46,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0063/150/46.jpg,drone_view_512/0063/150/46.jpg,46.jpg,sat_0063,63,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0063_150_0047,0063,0063,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,47,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0063/150/47.jpg,drone_view_512/0063/150/47.jpg,47.jpg,sat_0063,63,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0063_150_0048,0063,0063,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,48,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0063/150/48.jpg,drone_view_512/0063/150/48.jpg,48.jpg,sat_0063,63,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0063_150_0049,0063,0063,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,49,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0063/150/49.jpg,drone_view_512/0063/150/49.jpg,49.jpg,sat_0063,63,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0071_150_0000,0071,0071,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,0,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0071/150/0.jpg,drone_view_512/0071/150/0.jpg,0.jpg,sat_0071,71,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0071_150_0001,0071,0071,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,1,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0071/150/1.jpg,drone_view_512/0071/150/1.jpg,1.jpg,sat_0071,71,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0071_150_0002,0071,0071,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,2,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0071/150/2.jpg,drone_view_512/0071/150/2.jpg,2.jpg,sat_0071,71,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0071_150_0003,0071,0071,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,3,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0071/150/3.jpg,drone_view_512/0071/150/3.jpg,3.jpg,sat_0071,71,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0071_150_0004,0071,0071,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,4,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0071/150/4.jpg,drone_view_512/0071/150/4.jpg,4.jpg,sat_0071,71,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0071_150_0005,0071,0071,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,5,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0071/150/5.jpg,drone_view_512/0071/150/5.jpg,5.jpg,sat_0071,71,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0071_150_0006,0071,0071,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,6,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0071/150/6.jpg,drone_view_512/0071/150/6.jpg,6.jpg,sat_0071,71,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0071_150_0007,0071,0071,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,7,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0071/150/7.jpg,drone_view_512/0071/150/7.jpg,7.jpg,sat_0071,71,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0071_150_0008,0071,0071,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,8,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0071/150/8.jpg,drone_view_512/0071/150/8.jpg,8.jpg,sat_0071,71,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0071_150_0009,0071,0071,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,9,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0071/150/9.jpg,drone_view_512/0071/150/9.jpg,9.jpg,sat_0071,71,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0071_150_0010,0071,0071,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,10,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0071/150/10.jpg,drone_view_512/0071/150/10.jpg,10.jpg,sat_0071,71,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0071_150_0011,0071,0071,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,11,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0071/150/11.jpg,drone_view_512/0071/150/11.jpg,11.jpg,sat_0071,71,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0071_150_0012,0071,0071,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,12,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0071/150/12.jpg,drone_view_512/0071/150/12.jpg,12.jpg,sat_0071,71,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0071_150_0013,0071,0071,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,13,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0071/150/13.jpg,drone_view_512/0071/150/13.jpg,13.jpg,sat_0071,71,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0071_150_0014,0071,0071,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,14,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0071/150/14.jpg,drone_view_512/0071/150/14.jpg,14.jpg,sat_0071,71,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0071_150_0015,0071,0071,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,15,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0071/150/15.jpg,drone_view_512/0071/150/15.jpg,15.jpg,sat_0071,71,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0071_150_0016,0071,0071,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,16,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0071/150/16.jpg,drone_view_512/0071/150/16.jpg,16.jpg,sat_0071,71,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0071_150_0017,0071,0071,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,17,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0071/150/17.jpg,drone_view_512/0071/150/17.jpg,17.jpg,sat_0071,71,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0071_150_0018,0071,0071,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,18,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0071/150/18.jpg,drone_view_512/0071/150/18.jpg,18.jpg,sat_0071,71,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0071_150_0019,0071,0071,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,19,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0071/150/19.jpg,drone_view_512/0071/150/19.jpg,19.jpg,sat_0071,71,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0071_150_0020,0071,0071,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,20,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0071/150/20.jpg,drone_view_512/0071/150/20.jpg,20.jpg,sat_0071,71,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0071_150_0021,0071,0071,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,21,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0071/150/21.jpg,drone_view_512/0071/150/21.jpg,21.jpg,sat_0071,71,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0071_150_0022,0071,0071,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,22,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0071/150/22.jpg,drone_view_512/0071/150/22.jpg,22.jpg,sat_0071,71,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0071_150_0023,0071,0071,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,23,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0071/150/23.jpg,drone_view_512/0071/150/23.jpg,23.jpg,sat_0071,71,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0071_150_0024,0071,0071,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,24,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0071/150/24.jpg,drone_view_512/0071/150/24.jpg,24.jpg,sat_0071,71,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0071_150_0025,0071,0071,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,25,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0071/150/25.jpg,drone_view_512/0071/150/25.jpg,25.jpg,sat_0071,71,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0071_150_0026,0071,0071,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,26,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0071/150/26.jpg,drone_view_512/0071/150/26.jpg,26.jpg,sat_0071,71,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0071_150_0027,0071,0071,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,27,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0071/150/27.jpg,drone_view_512/0071/150/27.jpg,27.jpg,sat_0071,71,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0071_150_0028,0071,0071,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,28,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0071/150/28.jpg,drone_view_512/0071/150/28.jpg,28.jpg,sat_0071,71,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0071_150_0029,0071,0071,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,29,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0071/150/29.jpg,drone_view_512/0071/150/29.jpg,29.jpg,sat_0071,71,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0071_150_0030,0071,0071,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,30,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0071/150/30.jpg,drone_view_512/0071/150/30.jpg,30.jpg,sat_0071,71,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0071_150_0031,0071,0071,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,31,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0071/150/31.jpg,drone_view_512/0071/150/31.jpg,31.jpg,sat_0071,71,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0071_150_0032,0071,0071,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,32,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0071/150/32.jpg,drone_view_512/0071/150/32.jpg,32.jpg,sat_0071,71,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0071_150_0033,0071,0071,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,33,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0071/150/33.jpg,drone_view_512/0071/150/33.jpg,33.jpg,sat_0071,71,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0071_150_0034,0071,0071,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,34,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0071/150/34.jpg,drone_view_512/0071/150/34.jpg,34.jpg,sat_0071,71,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0071_150_0035,0071,0071,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,35,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0071/150/35.jpg,drone_view_512/0071/150/35.jpg,35.jpg,sat_0071,71,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0071_150_0036,0071,0071,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,36,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0071/150/36.jpg,drone_view_512/0071/150/36.jpg,36.jpg,sat_0071,71,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0071_150_0037,0071,0071,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,37,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0071/150/37.jpg,drone_view_512/0071/150/37.jpg,37.jpg,sat_0071,71,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0071_150_0038,0071,0071,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,38,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0071/150/38.jpg,drone_view_512/0071/150/38.jpg,38.jpg,sat_0071,71,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0071_150_0039,0071,0071,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,39,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0071/150/39.jpg,drone_view_512/0071/150/39.jpg,39.jpg,sat_0071,71,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0071_150_0040,0071,0071,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,40,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0071/150/40.jpg,drone_view_512/0071/150/40.jpg,40.jpg,sat_0071,71,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0071_150_0041,0071,0071,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,41,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0071/150/41.jpg,drone_view_512/0071/150/41.jpg,41.jpg,sat_0071,71,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0071_150_0042,0071,0071,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,42,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0071/150/42.jpg,drone_view_512/0071/150/42.jpg,42.jpg,sat_0071,71,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0071_150_0043,0071,0071,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,43,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0071/150/43.jpg,drone_view_512/0071/150/43.jpg,43.jpg,sat_0071,71,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0071_150_0044,0071,0071,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,44,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0071/150/44.jpg,drone_view_512/0071/150/44.jpg,44.jpg,sat_0071,71,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0071_150_0045,0071,0071,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,45,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0071/150/45.jpg,drone_view_512/0071/150/45.jpg,45.jpg,sat_0071,71,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0071_150_0046,0071,0071,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,46,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0071/150/46.jpg,drone_view_512/0071/150/46.jpg,46.jpg,sat_0071,71,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0071_150_0047,0071,0071,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,47,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0071/150/47.jpg,drone_view_512/0071/150/47.jpg,47.jpg,sat_0071,71,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0071_150_0048,0071,0071,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,48,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0071/150/48.jpg,drone_view_512/0071/150/48.jpg,48.jpg,sat_0071,71,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0071_150_0049,0071,0071,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,49,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0071/150/49.jpg,drone_view_512/0071/150/49.jpg,49.jpg,sat_0071,71,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0072_150_0000,0072,0072,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,0,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0072/150/0.jpg,drone_view_512/0072/150/0.jpg,0.jpg,sat_0072,72,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0072_150_0001,0072,0072,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,1,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0072/150/1.jpg,drone_view_512/0072/150/1.jpg,1.jpg,sat_0072,72,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0072_150_0002,0072,0072,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,2,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0072/150/2.jpg,drone_view_512/0072/150/2.jpg,2.jpg,sat_0072,72,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0072_150_0003,0072,0072,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,3,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0072/150/3.jpg,drone_view_512/0072/150/3.jpg,3.jpg,sat_0072,72,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0072_150_0004,0072,0072,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,4,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0072/150/4.jpg,drone_view_512/0072/150/4.jpg,4.jpg,sat_0072,72,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0072_150_0005,0072,0072,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,5,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0072/150/5.jpg,drone_view_512/0072/150/5.jpg,5.jpg,sat_0072,72,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0072_150_0006,0072,0072,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,6,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0072/150/6.jpg,drone_view_512/0072/150/6.jpg,6.jpg,sat_0072,72,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0072_150_0007,0072,0072,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,7,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0072/150/7.jpg,drone_view_512/0072/150/7.jpg,7.jpg,sat_0072,72,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0072_150_0008,0072,0072,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,8,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0072/150/8.jpg,drone_view_512/0072/150/8.jpg,8.jpg,sat_0072,72,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0072_150_0009,0072,0072,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,9,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0072/150/9.jpg,drone_view_512/0072/150/9.jpg,9.jpg,sat_0072,72,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0072_150_0010,0072,0072,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,10,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0072/150/10.jpg,drone_view_512/0072/150/10.jpg,10.jpg,sat_0072,72,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0072_150_0011,0072,0072,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,11,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0072/150/11.jpg,drone_view_512/0072/150/11.jpg,11.jpg,sat_0072,72,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0072_150_0012,0072,0072,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,12,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0072/150/12.jpg,drone_view_512/0072/150/12.jpg,12.jpg,sat_0072,72,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0072_150_0013,0072,0072,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,13,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0072/150/13.jpg,drone_view_512/0072/150/13.jpg,13.jpg,sat_0072,72,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0072_150_0014,0072,0072,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,14,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0072/150/14.jpg,drone_view_512/0072/150/14.jpg,14.jpg,sat_0072,72,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0072_150_0015,0072,0072,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,15,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0072/150/15.jpg,drone_view_512/0072/150/15.jpg,15.jpg,sat_0072,72,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0072_150_0016,0072,0072,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,16,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0072/150/16.jpg,drone_view_512/0072/150/16.jpg,16.jpg,sat_0072,72,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
drone_0072_150_0017,0072,0072,test,drone,150,NOMINAL_DATASET_FOLDER_LABEL_NOT_VERIFIED_AS_AGL_OR_MSL,17,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0072/150/17.jpg,drone_view_512/0072/150/17.jpg,17.jpg,sat_0072,72,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
